#Genus	Species	Strain	NCBI accession	Cluster number	BGC type	From	To	On contig edge	Fast mode only	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Micromonospora	rifamycinica	DSM 44983	NZ_LT607752.1	11	blactam-nrps-t1pks-t3pks hybrid	1890124	2056823	False	False	Kedarcidin	16	BGC0000081_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900090265/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900090265/cluster/11
Pantoea	Unclassified	At-9b	NC_014838.1	6	blactam	177968	199414	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000175935/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000175935/cluster/6
Photorhabdus	thracensis	DSM 15199	NZ_CP011104.1	12	blactam	2188575	2252808	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001010285/12	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001010285/cluster/12
Streptomyces	pratensis	ATCC 33331	NC_016114.1	1	blactam-nrps-t1pks hybrid	70872	221343	False	False	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000176115/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000176115/cluster/1
Streptomyces	pratensis	ATCC 33331	NC_016114.1	5	blactam	634711	658209	False	False	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000176115/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000176115/cluster/5
Streptomyces	Unclassified	PAMC 26508	NC_021055.1	23	blactam	6729750	6753248	False	False	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000364805/23	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000364805/cluster/23
Streptomyces	Unclassified	PAMC 26508	NC_021055.1	28	blactam-nrps-t1pks hybrid	7287162	7437851	False	False	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000364805/28	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000364805/cluster/28
Dickeya	Unclassified	CSL RW240	NZ_CM001973.2	9	blactam	3924858	3946370	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000406085/9	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000406085/cluster/9
Actinoalloteichus	hoggarensis	DSM 45943	NZ_CP022521.1	15	blactam	4071803	4093633	False	False	Arsenopolyketides	12	BGC0001283_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002234535/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002234535/cluster/15
Streptomyces	formicae	KY5	NZ_CP022685.1	34	blactam-t1pks hybrid	9395308	9478346	False	False	Clavams	57	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002556545/34	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002556545/cluster/34
Streptomyces	Unclassified	3124.6	NZ_LT670819.1	25	blactam-t2pks hybrid	8449644	8513784	False	False	Sporepigment	83	BGC0000271_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900129855/25	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900129855/cluster/25
Pseudomonas	syringae	31R1	NZ_FNNY01000007.0	6	blactam	121471	143337	False	True	Tabtoxin	27	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900106705/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900106705/cluster/6
Pectobacterium	carotovorum	BC1	NZ_JPSO01000047.0	3	blactam-siderophore hybrid	54184	94066	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000738125/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000738125/cluster/3
Pectobacterium	carotovorum	NCPPB 312	NZ_JQHJ01000006.0	4	blactam-siderophore hybrid	74432	115765	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000749855/4	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000749855/cluster/4
Pectobacterium	polaris	NIBIO1392	NZ_JQHN01000009.0	6	blactam	84917	106435	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000749915/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000749915/cluster/6
Pectobacterium	carotovorum	BC1	NZ_JQOE01000007.0	6	blactam-siderophore hybrid	120740	163487	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000754695/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000754695/cluster/6
Pectobacterium	carotovorum	BC1	NZ_JQOD01000001.0	1	blactam-siderophore hybrid	153167	195798	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000754705/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000754705/cluster/1
Pectobacterium	carotovorum	KKH3	NZ_JRMH01000002.0	8	blactam-siderophore hybrid	108125	150756	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000803315/8	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000803315/cluster/8
Pectobacterium	carotovorum	BC1	NZ_JUJE01000009.0	6	blactam-siderophore hybrid	116450	157740	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000808195/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000808195/cluster/6
Pectobacterium	carotovorum	NCPPB 312	NZ_JUJG01000016.0	3	blactam	9542	31054	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000808215/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000808215/cluster/3
Pectobacterium	carotovorum	BC1	NZ_JUJL01000006.0	5	blactam-siderophore hybrid	113753	155239	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000808295/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000808295/cluster/5
Pectobacterium	carotovorum	BC1	NZ_JUJM01000009.0	6	blactam-siderophore hybrid	113705	155191	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000808315/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000808315/cluster/6
Pectobacterium	carotovorum	BC1	NZ_JUJC01000013.0	2	blactam-siderophore hybrid	108207	149689	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000808385/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000808385/cluster/2
Pectobacterium	carotovorum	ICMP 19477	NZ_ALIU01000003.0	2	blactam-siderophore hybrid	354565	397189	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001038675/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001038675/cluster/2
Pectobacterium	carotovorum	BC1	NZ_LGRF01000004.0	7	blactam-siderophore hybrid	110933	153557	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001238575/7	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001238575/cluster/7
Dickeya	chrysanthemi	L11	NZ_JSYH01000004.0	2	blactam	0	17295	True	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000784725/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000784725/cluster/2
Providencia	rettgeri	RB151	NZ_JSEQ01000002.0	2	blactam	143115	164621	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000805715/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000805715/cluster/2
Providencia	rettgeri	RB151	NZ_CVLT01000043.0	2	blactam	11752	33258	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001049815/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001049815/cluster/2
Vibrio	gazogenes	DSM 21264	NZ_FQUH01000007.0	5	blactam	61607	83119	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_900129185/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900129185/cluster/5
Mycobacterium	gordonae	CTRI 14-8773	NZ_LKTM01000379.0	19	blactam	0	19750	True	True	Tabtoxin	9	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001417955/19	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001417955/cluster/19
Kitasatospora	aureofaciens	DM-1	NZ_JNWR01000048.0	34	blactam	22399	46006	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000716885/34	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000716885/cluster/34
Kitasatospora	aureofaciens	DM-1	NZ_JPRF03000043.0	22	blactam	54340	77929	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001188955/22	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001188955/cluster/22
Streptomyces	olivochromogenes	DSM 40451	NZ_KQ948471.1	26	bacteriocin-blactam hybrid	113277	141797	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001514115/26	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514115/cluster/26
Streptomyces	kanamyceticus	NRRL B-2535	NZ_LIQU01000075.0	56	blactam-t1pks hybrid	0	45882	True	True	Clavams	50	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001418465/56	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001418465/cluster/56
Amycolatopsis	orientalis	KCTC 9412	NZ_ASJB01000083.0	27	blactam-t1pks hybrid	124252	202237	False	True	Neocarzinostatin	26	BGC0000112_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000478275/27	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000478275/cluster/27
Mycobacteroides	abscessus	MM1513	NZ_FSOE01000005.0	2	blactam	88454	110257	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900140055/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900140055/cluster/2
Burkholderia	plantarii	ATCC 43733	NZ_MKGK01000003.0	14	blactam	1150223	1171714	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001755835/14	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001755835/cluster/14
Streptomyces	wedmorensis	NRRL 3426	NZ_JNWK01000005.0	3	blactam-lantipeptide hybrid	155965	210643	False	True	Clavulanicacid	29	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000716445/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000716445/cluster/3
Legionella	quinlivanii	CDC#1442-AUS-E	NZ_LNYS01000008.0	3	bacteriocin-blactam-nrps hybrid	615690	666687	True	True	Lipopolysaccharide	16	BGC0000772_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001467975/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001467975/cluster/3
Streptomyces	olivaceus	KLBMP 5084	NZ_JNWM01000009.0	16	blactam	196270	219768	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000716815/16	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000716815/cluster/16
Streptomyces	olivaceus	KLBMP 5084	NZ_JNWM01000014.0	23	blactam-nrps-t1pks hybrid	215706	324962	True	True	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000716815/23	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000716815/cluster/23
Streptomyces	aurantiacus	NRRL ISP-5412	NZ_LIPP01000170.0	9	blactam	20444	43994	False	True	Clavams	57	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001418335/9	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001418335/cluster/9
Micromonospora	rosaria	DSM 803	NZ_LRQV01000039.0	16	blactam	34287	51412	True	True	Tabtoxin	18	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001567585/16	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001567585/cluster/16
Pseudomonas	amygdali	yuexi-1	NZ_JWJF01000079.0	1	blactam	13307	30536	True	True	Tabtoxin	31	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000934645/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000934645/cluster/1
Pseudomonas	amygdali	ATCC 11528	NZ_LCWS01000001.0	2	blactam	234511	256377	False	True	Tabtoxin	31	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001006455/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001006455/cluster/2
Pseudomonas	amygdali	CFBP 3205	NZ_LJPQ01000114.0	13	blactam	0	14904	True	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001400115/13	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001400115/cluster/13
Pseudomonas	amygdali	yuexi-1	NZ_LJRL01000030.0	8	blactam	0	18788	True	True	Tabtoxin	31	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001401095/8	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001401095/cluster/8
Streptomyces	viridifaciens	DSM 40239	NZ_MPLE01000001.0	11	blactam	1524279	1547868	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001888885/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001888885/cluster/11
Streptomyces	flavovirens	NRRL B-2182	NZ_JOAB01000005.0	9	blactam	176684	200182	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000720395/9	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000720395/cluster/9
Streptomyces	flavovirens	NRRL B-2182	NZ_JOAB01000015.0	20	blactam-nrps-t1pks hybrid	216003	325186	True	True	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000720395/20	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000720395/cluster/20
Xenorhabdus	japonica	DSM 16522	NZ_FOVO01000020.0	5	blactam	0	17861	True	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_900115195/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900115195/cluster/5
Pseudomonas	coronafaciens	36_1	NZ_LGKZ01000007.0	2	blactam	244776	266642	False	True	Tabtoxin	31	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001293935/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001293935/cluster/2
Pectobacterium	betavasculorum	NCPPB 2795	NZ_JQHM01000005.0	7	blactam-siderophore hybrid	57906	97426	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000749845/7	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000749845/cluster/7
Pectobacterium	betavasculorum	NCPPB 2795	NZ_JQHL01000005.0	5	blactam-siderophore hybrid	68569	108089	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000749925/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000749925/cluster/5
Streptomyces	aureocirculatus	NRRL ISP-5401	NZ_JOAR01000011.0	17	bacteriocin-blactam-nrps hybrid	85466	195419	False	True	Endophenazines	30	BGC0000934_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000725745/17	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000725745/cluster/17
Streptomyces	pseudovenezuelae	DSM 40212	NZ_KQ948147.1	9	blactam-nrps hybrid	121652	182677	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001513955/9	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001513955/cluster/9
Amycolatopsis	alba	DSM 44262	NZ_KB913032.1	28	blactam-nrps hybrid	7146737	7281233	False	True	AzinomycinB	19	BGC0000960_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000384215/28	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000384215/cluster/28
Amycolatopsis	coloradensis	DSM 44225	NZ_MQUQ01000025.0	16	blactam-nrps hybrid	0	107251	True	True	AzinomycinB	19	BGC0000960_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001953865/16	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001953865/cluster/16
Vibrio	ruber	CECT 7878	NZ_FULE01000050.0	12	blactam	82009	103521	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_900163965/12	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900163965/cluster/12
Anoxybacillus	kamchatkensis	G10	NZ_ALJT01000021.0	3	blactam	11526	23066	True	True	Clavulanicacid	12	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000283415/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000283415/cluster/3
Nocardia	thailandica	NBRC 100428	NZ_BAGK01000308.0	1	blactam	11827	33645	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000308795/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000308795/cluster/1
Nocardia	concava	NBRC 100430	NZ_BAFX01000202.0	3	blactam	888	22403	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000308815/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000308815/cluster/3
Anoxybacillus	ayderensis	SK3-4	NZ_JXTG01000029.0	4	blactam	0	18257	True	True	Clavulanicacid	12	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000833605/4	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000833605/cluster/4
Streptomyces	luteocolor	NBRC 13826	NZ_BDGW01000056.0	31	blactam	0	20008	True	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001748305/31	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001748305/cluster/31
Micromonospora	rifamycinica	DSM 44983	NZ_LRMV01000071.0	17	blactam-t3pks hybrid	0	30227	True	True	Pheganomycin	33	BGC0001148_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001542325/17	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001542325/cluster/17
Streptomyces	paucisporeus	CGMCC 4.2025	NZ_FRBI01000031.0	11	blactam	11976	33806	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_900142575/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900142575/cluster/11
Salinispora	pacifica	CNR942	NZ_KB894873.1	19	blactam	44920	68252	True	True	Clavams	64	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000374665/19	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374665/cluster/19
Salinispora	pacifica	CNS996	NZ_KB895101.1	7	blactam	102148	125642	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000374745/7	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374745/cluster/7
Salinispora	pacifica	CNT045	NZ_KB895217.1	13	blactam	102497	125991	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000374765/13	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374765/cluster/13
Salinispora	pacifica	CNT124	NZ_KB895300.1	11	blactam	79300	102794	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000374785/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374785/cluster/11
Salinispora	pacifica	CNT584	NZ_KB896782.1	15	blactam	53307	76801	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000375245/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375245/cluster/15
Salinispora	pacifica	CNT609	NZ_KB904926.1	11	blactam	3736	27231	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000375265/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375265/cluster/11
Salinispora	pacifica	DSM 45543	NZ_KB913022.1	3	blactam	1460156	1483650	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000383995/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000383995/cluster/3
Salinispora	pacifica	CNT084	NZ_AZWA01000029.0	13	blactam	5782	29277	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000514495/13	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000514495/cluster/13
Salinispora	pacifica	CNT569	NZ_AZWQ01000021.0	10	blactam	93377	116899	False	True	Clavams	64	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000514815/10	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000514815/cluster/10
Salinispora	pacifica	CNT854	NZ_KI911475.1	6	blactam	78727	102221	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000514835/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000514835/cluster/6
Micromonospora	tulbaghiae	DSM 45142	NZ_FMCQ01000002.0	5	blactam-nrps-transatpks hybrid	0	130990	True	True	Leinamycin	15	BGC0001101_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900091605/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900091605/cluster/5
